osmid,y,x
11379754651.0,21.0244849,105.8536777
8347890323.0,21.0240843,105.8535409
11379754650.0,21.0240378,105.8535229
6689685037.0,21.0241655,105.8530743
8178544912.0,21.0240527,105.8529652
8178544913.0,21.0240817,105.8530502
