osmid,y,x,highway
1819499860,21.0217774,105.8541309,
1819499861,21.0222055,105.8525018,
2218334196,21.0198171,105.86192,
2218568787,21.0191961,105.8606832,
2218590775,21.018705,105.8587792,
2218590791,21.0180301,105.8585242,
2302087705,21.0209119,105.8616699,
2302087710,21.0225765,105.8611788,
2302089248,21.0244799,105.857338,
2302089256,21.024877,105.8589742,
2302090839,21.0220754,105.853014,
2302090842,21.0217027,105.8528801,
2302090853,21.0216606,105.8528826,
2313983875,21.0242385,105.8556664,
2313983877,21.0243218,105.8553658,
2474695878,21.0185395,105.8620274,
3226415880,21.0239612,105.8578699,
3226415881,21.0239299,105.8574989,
3671508746,21.0230571,105.8605114,
4022961193,21.0220222,105.8549677,
4022961194,21.0234704,105.8554846,
4022961195,21.0247091,105.8559027,
4022966514,21.0241903,105.8557293,
4022966515,21.0238913,105.8568599,
4022968801,21.0209599,105.8601515,
4022981145,21.0229655,105.8584128,
4023430927,21.0194452,105.8526233,crossing
4023430929,21.0207175,105.8531422,
4091998924,21.0188607,105.8552418,
4150312890,21.023697,105.8541656,
4217845890,21.0250058,105.8545563,
4364343294,21.019846,105.8566061,
4383436892,21.0244842,105.8563607,
4424482690,21.0204272,105.8543623,
4424483890,21.0204093,105.8543574,
4470184092,21.0234859,105.8553125,
4483634010,21.0197158,105.8550341,
4483634013,21.0196431,105.8552761,
4499978190,21.0235524,105.8587723,
4533473989,21.0251818,105.8565792,
4533473990,21.0251312,105.8564093,
4533473991,21.0255197,105.8562785,
4533473992,21.0253222,105.8563441,
4533473993,21.0254855,105.8562671,
4533473994,21.0253411,105.856296,
4533473995,21.0253846,105.8561298,
4533473996,21.0252283,105.8561322,
4533473997,21.0252817,105.8560021,
4533473998,21.0254119,105.8560633,
4533474001,21.0259554,105.8558159,
4533474002,21.0259282,105.8559067,
4533474003,21.025923,105.8558055,
4547515890,21.0210321,105.8583678,
4556303888,21.0215128,105.8588295,
4556303893,21.0214815,105.8587243,
4568718696,21.0181306,105.8530145,
4576377989,21.0249427,105.8547489,
4576584290,21.0190598,105.8553515,
4590730102,21.0196349,105.8576358,
4590730103,21.0195369,105.8575996,
4590736393,21.0196201,105.8576431,
4641880495,21.0186694,105.85302,
4659379693,21.0240465,105.8532302,
4737582027,21.0229422,105.855337,
4737591423,21.023723,105.8543292,
4740905221,21.0233472,105.8565948,
4744468521,21.0224373,105.8577363,
4748160021,21.022302,105.8577515,
4748338421,21.0188011,105.8543226,
4756239827,21.0249719,105.8543529,
4756239828,21.0250376,105.854375,
4758238253,21.0236691,105.8555169,
4768909022,21.0231599,105.8551448,
4780307521,21.0208655,105.8536746,
4785798523,21.0189202,105.8583853,
4806907721,21.022611,105.8594376,
4851083723,21.0241627,105.8583374,
4902374735,21.0240516,105.8572075,
4902374737,21.0244432,105.8570073,
4902374741,21.0246689,105.8568489,crossing
5013888021,21.0200525,105.8601709,
5047098422,21.0238492,105.8582963,
5047144837,21.0233594,105.8543388,
5087685022,21.0248273,105.8572564,
5223147223,21.0246726,105.8584762,
5288964825,21.0248221,105.855295,
5332983222,21.0247936,105.8529639,
5334178022,21.0181784,105.8553,
5362040321,21.0228643,105.8544445,bus_stop
5367507321,21.0221163,105.8543132,
5382848423,21.0193747,105.8555147,
5385095921,21.018791,105.85518,
5385096021,21.01865,105.85455,
5388603121,21.0242715,105.8541273,
5394540921,21.0238674,105.8529505,
5459555822,21.023961,105.853787,
5462421044,21.0195048,105.8574381,bus_stop
5477891021,21.0248701,105.8529766,
5479578121,21.0229132,105.8571891,
5484083323,21.0235045,105.8566785,
5529954421,21.0248427,105.8619789,
5541768485,21.0194251,105.8556663,
5548176121,21.0224583,105.8582132,
5561070622,21.0236832,105.8568485,bus_stop
5609998410,21.024282,105.8622359,
5609998739,21.0186405,105.857025,
5609999070,21.0183388,105.8529172,
5609999992,21.0243357,105.8621468,
5617113056,21.0211607,105.8557585,
5621040322,21.0240318,105.8531752,
5704353648,21.0238189,105.851994,
5704353664,21.0227522,105.8552376,
5704353665,21.0229581,105.854526,
5704382338,21.0251237,105.8586477,
5704382341,21.0243195,105.8587673,
5704382342,21.0244142,105.8591036,
5704382343,21.0235684,105.8589765,
5704382344,21.0236584,105.8593317,
5704382345,21.0234482,105.8578983,
5704382353,21.0237812,105.8581692,
5704382354,21.0235915,105.8578356,
