osmid,y,x,highway
6644534244,21.0228409,105.8579239,
6644534246,21.0227717,105.8576379,traffic_signals
6644534247,21.0229142,105.857324,traffic_signals
6644534248,21.0226242,105.8575607,traffic_signals
6646826309,21.024953,105.8550051,traffic_signals
6646826310,21.0250481,105.8551917,traffic_signals
6646826311,21.0248813,105.85529,traffic_signals
6647111311,21.0247255,105.8583466,crossing
6647111314,21.0247498,105.8590069,crossing
6647207214,21.0247994,105.8582373,crossing
6647207215,21.0249267,105.8594296,crossing
6647207216,21.0249845,105.8594173,crossing
6648055354,21.0244768,105.8572011,
6648288794,21.0230445,105.8574012,traffic_signals
6648288796,21.0186189,105.862069,crossing
6648288797,21.0186051,105.8620102,traffic_signals
6658015489,21.0241718,105.861868,
6658015490,21.0242701,105.8622375,
6662289397,21.0205139,105.8538535,traffic_signals
6662289398,21.0206676,105.85374,traffic_signals
6662289399,21.020597,105.8535495,traffic_signals
6662352878,21.0217227,105.8560005,traffic_signals
6662352879,21.0216383,105.8562849,traffic_signals
6662352880,21.0215243,105.8560776,traffic_signals
6662352881,21.0217826,105.8561642,traffic_signals
6662352882,21.0201602,105.8556318,traffic_signals
6662352883,21.0199417,105.8557417,traffic_signals
6662352884,21.0199235,105.8555519,traffic_signals
6662355785,21.0200486,105.8554005,traffic_signals
6662487543,21.0244824,105.8566949,crossing
6662487544,21.0239295,105.8568738,crossing
6662487546,21.0230077,105.8565531,traffic_signals
6662487547,21.0230828,105.8567571,traffic_signals
6662487548,21.0232664,105.856642,traffic_signals
6662487549,21.0231761,105.8564479,traffic_signals
6676496647,21.0183814,105.8588915,
6676496648,21.0183789,105.858707,
6684786556,21.0237927,105.8547974,traffic_signals
6684786558,21.023637,105.8549332,traffic_signals
6685514072,21.0203117,105.8617843,
6685527205,21.0183883,105.8618107,crossing
6685527206,21.0184666,105.8620438,crossing
6685527207,21.0184779,105.8621027,traffic_signals
6685542593,21.0179413,105.8621617,
6685542594,21.0179503,105.8622244,
6685556118,21.0187112,105.8541878,
6685594245,21.0191635,105.8581842,
6685594246,21.0190442,105.8581779,
6685594995,21.0183736,105.8552326,crossing
6685594996,21.0184745,105.8550644,crossing
6685594997,21.0182179,105.8551039,crossing
6685594998,21.0191208,105.8533242,traffic_signals
6689431163,21.0194006,105.8527184,crossing
6689431164,21.0194585,105.8526981,crossing
6689431165,21.0194209,105.8526765,
6689473460,21.0192342,105.8530704,traffic_signals
6689473461,21.0192618,105.853253,traffic_signals
6689486564,21.0194507,105.8554633,crossing
6689572371,21.0189863,105.8589387,traffic_signals
6689572373,21.0188078,105.8587611,traffic_signals
6689572375,21.0190816,105.8585545,traffic_signals
6689572376,21.0189691,105.8582007,
6689572377,21.0192141,105.8582105,
6689572378,21.0187481,105.8566866,crossing
6689572379,21.0186705,105.8567822,crossing
6689572381,21.0186386,105.8565682,crossing
6689625504,21.0185547,105.8540453,
6689625505,21.018735,105.8541345,
6689625506,21.0190655,105.8528249,
6689625507,21.0192925,105.8529418,
6689625511,21.0221212,105.8577265,crossing
6689625512,21.021295,105.8580052,crossing
6689625513,21.0211421,105.857928,crossing
6689625514,21.0210226,105.8580873,crossing
6689668432,21.0226675,105.852762,traffic_signals
6689675996,21.021964,105.8577115,crossing
6689685037,21.0241655,105.8530743,traffic_signals
6689685038,21.0240659,105.8528875,traffic_signals
6689686491,21.0221801,105.8544284,traffic_signals
6689686492,21.0222668,105.8541332,traffic_signals
6689686493,21.02236,105.8543307,traffic_signals
6689701337,21.0186773,105.860065,crossing
6689701338,21.0188366,105.859772,crossing
6689701339,21.0197129,105.8569939,traffic_signals
6689701340,21.0194235,105.8568998,traffic_signals
6689701341,21.0195596,105.8570699,traffic_signals
6689701342,21.0196276,105.8568417,traffic_signals
6689703487,21.0253162,105.8584255,
6689714426,21.0182143,105.8529084,traffic_signals
6689714427,21.0180736,105.853025,traffic_signals
6689745530,21.0147943,105.8626499,
6689794091,21.0185937,105.8612226,
7821910476,21.0224087,105.8610179,
7821910477,21.0222952,105.8611928,
7821910479,21.021878,105.8612123,
7821994931,21.0176462,105.8604671,
7822814654,21.0218612,105.8598823,
7822814658,21.0194131,105.8615171,
8041596083,21.022562,105.8531169,
8041596084,21.0232214,105.8533227,
8173724211,21.0225932,105.8525132,
8173724258,21.0228275,105.8525276,
8173724261,21.0240789,105.8528086,
8173724276,21.0236486,105.8527198,crossing
8176640936,21.0243203,105.8527808,
8176640939,21.0243564,105.8528634,
8176640953,21.0241517,105.852729,
8176640954,21.0242462,105.8527579,crossing
8178544881,21.024798,105.8550154,
8178544883,21.0238205,105.8546925,
8178544886,21.0237915,105.8545852,
8178544887,21.0242111,105.8530885,
8178544890,21.0243235,105.8530398,
8178544891,21.0243392,105.8529557,crossing
8178544897,21.0227854,105.8526881,
8178544902,21.0223331,105.854158,
8178544905,21.0235373,105.8545795,
8178544907,21.0236417,105.8545441,
8178544912,21.0240527,105.8529652,
8178544913,21.0240817,105.8530502,
8178544916,21.0225693,105.8526444,
8178544921,21.0206408,105.8535657,
8178544926,21.0220661,105.8541316,
8178544929,21.0221603,105.8540934,
8178544933,21.0227059,105.8527689,
8178544934,21.022583,105.852745,
8178544942,21.0204811,105.8535066,
8178544944,21.0203695,105.8535424,
8178544945,21.0182278,105.8528475,
8178544953,21.0206338,105.8531153,crossing
8178544985,21.0180505,105.8527679,
8178545044,21.0226007,105.853129,crossing
8178545045,21.0221904,105.8525614,crossing
8178545046,21.0218013,105.8540439,crossing
8184202827,21.0182052,105.8550664,
8184202841,21.018202,105.852964,
8184202845,21.0181142,105.853029,
8184202853,21.0199518,105.8554516,
8184202867,21.0181779,105.8527901,
8184202868,21.018031,105.8530175,
8184202870,21.0191212,105.8531553,
8184202871,21.0190745,105.8532679,
8184202872,21.0191011,105.8532038,crossing
8184202873,21.0192871,105.8531693,
8184202874,21.0192384,105.8533249,
8184202875,21.020321,105.8537019,
8184202876,21.0203437,105.8536272,crossing
8184202881,21.0205523,105.8538666,
8184202885,21.0201901,105.8555252,
8184202888,21.0215523,105.8559883,
8184202897,21.0220142,105.8542955,
8184202898,21.0220376,105.8542215,crossing
8184202902,21.0206905,105.8536548,
8184202903,21.0206519,105.8537981,
8184202904,21.0204445,105.8538302,
8184202905,21.0201141,105.8554236,
8184202906,21.0199945,105.8553835,
8184202911,21.0231315,105.8564302,
8184202914,21.0217989,105.8561033,
8184202921,21.0223394,105.8544076,
8184202922,21.0229375,105.8545972,crossing
8184202923,21.0220687,105.8549849,crossing
8184202924,21.0234225,105.8554681,crossing
8184202925,21.0224385,105.8563002,crossing
8184202926,21.0223921,105.8542112,
8184202927,21.0222372,105.8544454,
8184202928,21.0220923,105.8544022,
8184202931,21.0217681,105.8560163,
8184202932,21.0216101,105.8559616,
8184202933,21.0234824,105.8547699,
8184202934,21.0235016,105.8547034,crossing
8184202936,21.0232221,105.8564663,
8184202945,21.0248237,105.8552728,
8184202949,21.0247595,105.8551597,
8184202954,21.0235093,105.8554978,crossing
8184202955,21.0246523,105.8558847,crossing
8184202956,21.0239104,105.8567868,crossing
8184202957,21.0237761,105.8548603,
8184202958,21.0236734,105.8549444,
8184202959,21.0235925,105.8549193,
8184202960,21.0247739,105.8551057,crossing
8184606178,21.0250871,105.8542939,
8184606179,21.025144,105.8543107,crossing
8184606183,21.0250077,105.8550244,
8184606184,21.0248868,105.8549813,
8184606217,21.0250242,105.8552709,
8184606220,21.024938,105.8553076,
8184606221,21.024532,105.8567084,
8184606232,21.0250748,105.8551094,
8184606234,21.0244243,105.8566791,
8189764811,21.0229874,105.8566197,
8189764814,21.0230229,105.8567362,
8189781418,21.0220384,105.8576907,
8189781420,21.0213424,105.8575137,
8189781426,21.0217617,105.8562419,
8189781427,21.0230293,105.856482,
8189781431,21.0215582,105.8562566,
8189781432,21.0212327,105.8573209,
8189781435,21.0211136,105.8573842,
8189781438,21.0197015,105.8568628,
8189781440,21.0199939,105.8557577,
8189781446,21.021502,105.8561512,
8189781447,21.0216874,105.8563022,
8189781448,21.0201425,105.8556957,
8189781450,21.0196994,105.8570425,
8189781456,21.0192808,105.8585959,
8189781457,21.021003,105.8580169,
8189781464,21.0197301,105.8569317,
8189781465,21.0213668,105.857367,
8189781466,21.0213069,105.8573464,crossing
8189781467,21.0210843,105.8574884,
8189781468,21.021099,105.8574361,crossing
8189781472,21.0198984,105.8556412,
8189781473,21.0198948,105.8557282,
8189781475,21.0195479,105.8568201,
8189781483,21.0184474,105.8551729,
8189781487,21.0190858,105.8567356,crossing
8189781488,21.0184968,105.8549754,
8189781504,21.01871,105.8567739,
8189781508,21.0196307,105.8570916,
8189781509,21.0194912,105.857049,
8189781510,21.0194363,105.8568503,
8189781511,21.0194111,105.8569474,
8189781513,21.0191721,105.8581888,crossing
8189781514,21.0190067,105.8581899,crossing
8189781525,21.0182295,105.8551379,
8189781529,21.0183297,105.8552396,
8189781530,21.018606,105.8565772,
8189781534,21.0184242,105.8552247,
8189781535,21.0186744,105.8565583,
8189781537,21.0187442,105.856622,
8189781538,21.0187517,105.8567463,
8189781548,21.0188973,105.8585457,
8189781558,21.0175295,105.8582733,
8189781559,21.0174758,105.8581152,
8189781571,21.0185621,105.8566408,
8189781572,21.0185687,105.8567052,
8189781573,21.0185655,105.8566737,crossing
8189781575,21.0186354,105.8567895,
8189781578,21.0189225,105.858568,crossing
8324080738,21.0248807,105.8575215,crossing
8324108032,21.0237606,105.8602459,
8324108045,21.0242445,105.8591528,
8324148623,21.0206938,105.8581981,
8347890323,21.0240843,105.8535409,crossing
8654073304,21.0205994,105.8572767,
8654073305,21.0198656,105.8578331,
8666189582,21.0205826,105.8573257,crossing
8713702409,21.0230543,105.8624755,
8713732018,21.0228104,105.8612936,
8716653467,21.0238756,105.8552238,
8716653468,21.0237652,105.8555848,
8817346152,21.0195696,105.859814,
8817346153,21.0197607,105.8605158,
8817349963,21.0193513,105.8612782,
8817349971,21.0192339,105.8608064,
8817435380,21.0228162,105.8595908,
8817435385,21.0233645,105.8599566,
9044763370,21.0186878,105.8611909,
9580094346,21.0236176,105.8578749,
9580094347,21.0235669,105.8581898,
9696654437,21.0200803,105.8529375,
9696654438,21.0201633,105.8525981,
9965357127,21.0212225,105.8558784,crossing
9965357129,21.020931,105.8557786,crossing
9965357130,21.0212568,105.8557601,
9965357131,21.0209641,105.8556634,
9966134298,21.0211924,105.858037,
9966134300,21.0212327,105.8581737,
9966134302,21.021227,105.8579025,
9966134309,21.0213241,105.8575942,
9966134313,21.0218983,105.8577353,
9966134316,21.0213324,105.8575577,crossing
